Name	acronym	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	Other signatures
Adrenocortical carcinoma		1	1		1	1	1							1					1													1
ALL	ALL	1	1			1								1																		
AML	AML	1				1																										
Bladder	BTCA	1	1			1					1			1																		
Breast	BRCA	1	1	1		1	1		1		1			1				1	1		1						1				1	1
Cervix	CESC	1	1			1	1				1			1													1					1
Chondrosarcoma		1				1																										
CLL	CLLE	1	1			1				1				1																		
Colorectum	COCA	1				1	1				1																					1
Glioblastoma	GBM	1				1						1																				1
Glioma Low Grade	LGG	1				1	1								1																	
Head and Neck	"HNSC, HNCA"	1	1		1	1		1						1																		
Kidney Chromophobe	KICH	1				1	1																									
Kidney Clear Cell	KIRC	1				1	1																					1				
Kidney Papillary	KIRP	1	1			1								1																		
Liver	"LICA, LINC, LIRI"	1			1	1	1						1				1	1					1	1	1							1
Lung Adeno	LUAD	1	1		1	1	1							1				1														
Lung Small Cell		1			1	1										1																
Lung Squamous	LUSC	1	1		1	1								1																		1
Lymphoma B-cell	DLBC	1	1			1				1				1				1														
Lymphoma Hodgkin		1				1																				1						
Medulloblastoma	PEME	1				1			1																							
Melanoma	SKCM	1				1		1				1						1														1
Myeloma	LAML	1	1			1								1																		
Nasopharyngeal Carcinoma	NACA	1	1			1	1							1																		
Neuroblastoma	NBL	1				1													1													
Oesophagus		1	1		1	1	1							1				1														
Oral gingivo-buccal squamous	ORCA	1	1			1		1						1																1		
Osteosarcoma	OS	1	1			1	1							1																	1	
Ovary	OV	1		1		1																										
Pancreas	"PACA, PAEN"	1	1	1		1	1							1																		1
Paraganglioma		1				1																										
Pilocytic Astrocytoma		1				1														1												
Prostate	PRAD	1				1	1																									
Stomach	GACA	1	1			1								1		1		1	1		1	1					1		1			1
Thyroid	THCA	1	1			1								1																		
Urothelial Carcinoma	BLCA	1	1			1								1									1									
Uterine Carcinoma	UCEC	1	1			1	1				1			1	1												1					
Uterine Carcinosarcoma		1	1			1	1				1			1																		
Uveal Melanoma		1				1	1																									
